method,K,mean_cov,max_cov,n_eps
uniform,4,0.04586166520263063,0.09111024047380803,863
random,4,0.04956398645538928,0.09555880620056895,863
optical_flow,4,0.04849984713313132,0.09627602157007087,863
attention,4,0.04845130955422705,0.09146029882884109,863
frame_diff,4,0.04856160412588926,0.09160002413381707,863
consecutive_block,4,0.07725530836908179,0.1358028508006214,863
uniform,8,0.034158514048537265,0.07014696560756908,863
random,8,0.03885069006946774,0.07545688217696465,863
optical_flow,8,0.04198441970424332,0.0791046295492011,863
attention,8,0.03757685727870409,0.06998418076427897,863
frame_diff,8,0.037209549505449184,0.07027885590616273,863
consecutive_block,8,0.06891494409881559,0.11474852966682107,863
uniform,16,0.020736755531276917,0.04069394757269708,863
random,16,0.022807596380868767,0.04216740597809268,863
optical_flow,16,0.0285180006014358,0.04868249627971981,863
attention,16,0.021512655028156063,0.03774889685463933,863
frame_diff,16,0.021549268658051693,0.03822449239905436,863
consecutive_block,16,0.04576031696849944,0.0681121806556905,863
uniform,32,0.006011131900521308,0.009933921649862136,863
random,32,0.006859937242447017,0.01068457285378973,863
optical_flow,32,0.00913093649261002,0.01281669117760686,863
attention,32,0.004845952684208664,0.007446101131748629,863
frame_diff,32,0.004345666844320083,0.007145179588852724,863
consecutive_block,32,0.011033104643061635,0.01448764613163706,863
