method,vs,K,diff_mean_cov,p_value,sig_0.05
random,uniform,4,0.003702321252758644,0.0,True
optical_flow,uniform,4,0.0026381819305006902,0.0,True
attention,uniform,4,0.0025896443515964207,0.0,True
frame_diff,uniform,4,0.002699938923258632,0.0,True
consecutive_block,uniform,4,0.031393643166451164,0.0,True
random,uniform,8,0.004692176020930476,0.0,True
optical_flow,uniform,8,0.007825905655706053,0.0,True
attention,uniform,8,0.0034183432301668273,0.0,True
frame_diff,uniform,8,0.0030510354569119207,0.0,True
consecutive_block,uniform,8,0.03475643005027832,0.0,True
random,uniform,16,0.0020708408495918487,0.0,True
optical_flow,uniform,16,0.007781245070158883,0.0,True
attention,uniform,16,0.000775899496879148,0.014,True
frame_diff,uniform,16,0.0008125131267747763,0.0102,True
consecutive_block,uniform,16,0.025023561437222525,0.0,True
random,uniform,32,0.0008488053419257094,0.0,True
optical_flow,uniform,32,0.003119804592088711,0.0,True
attention,uniform,32,-0.001165179216312644,0.0,True
frame_diff,uniform,32,-0.0016654650562012252,0.0,True
consecutive_block,uniform,32,0.005021972742540328,0.0,True
