method,K,mean_cov,mean_cov_highvel,mean_cov_lowvel,velocity_ratio,max_gap_ratio
uniform,4,0.04586166520263063,0.053765801149544545,0.03702433550944023,1.0236382870957332,1.0365161661541273
random,4,0.04956398645538927,0.05693502128721376,0.041207265983669854,1.0270341867945223,1.7397978616330825
optical_flow,4,0.04849984713313132,0.05569214582106537,0.03999598644704041,0.9307076667283292,1.4707748158527878
attention,4,0.04845130955422705,0.05470504529282088,0.04174772098979903,1.1169814715564645,1.4611627059571781
frame_diff,4,0.04856160412588926,0.055047239244916626,0.04160472809262617,1.1129583850073868,1.4285205776024676
uniform,8,0.034158514048537265,0.044137408745467524,0.02521920249143729,1.0652603838943877,1.1789366268436547
random,8,0.038850690069467744,0.04621495133258633,0.030649354814031964,0.9970474653212362,2.3909442118752966
optical_flow,8,0.04198441970424332,0.04788850409484584,0.03430727881891928,0.9156965151994823,2.2078531622505806
attention,8,0.03757685727870409,0.044737247532380245,0.03173962645774144,1.113715585822273,2.2098217466458476
frame_diff,8,0.037209549505449184,0.04476433440275929,0.03099284837195693,1.107729350909938,2.170076657351668
uniform,16,0.020736755531276917,0.04093710075664733,0.02079419364661139,1.0105647229115993,1.2375694048497967
random,16,0.022807596380868763,0.040774298712666766,0.025565219191633456,0.9999605550692164,1.9860168768153696
optical_flow,16,0.0285180006014358,0.04707388773857229,0.034987556207608184,0.9669542959156333,2.5850540247873464
attention,16,0.021512655028156063,0.04030404594758975,0.027860198980839603,1.0630988871991776,2.5448118483962774
frame_diff,16,0.021549268658051693,0.040952612904824576,0.02733589591227613,1.0610075797941982,2.5077530329797164
uniform,32,0.006011131900521308,0.03116944547946332,0.01565478726267312,0.9975592307376224,1.1759754527707185
random,32,0.006859937242447017,0.03559875394240385,0.019947705115311656,0.9996717016216348,1.2602297602371528
optical_flow,32,0.00913093649261002,0.042224616380898576,0.02985141120569886,0.9961932352796408,1.651021415679222
attention,32,0.004845952684208664,0.027974585459257167,0.01817853714725593,1.0086799699502442,1.6269334356559215
frame_diff,32,0.004345666844320083,0.026632383227348327,0.01615035632602507,1.0096762473349028,1.5799092733784452
