pooling,method,K,top_1,top_5
mean,uniform,4,0.8089887640449438,0.9606741573033708
mean,random,4,0.8258426966292135,0.9569288389513109
mean,optical_flow,4,0.8033707865168539,0.9438202247191011
mean,attention,4,0.8202247191011236,0.9719101123595506
mean,frame_diff,4,0.8370786516853933,0.9662921348314607
mean,uniform,8,0.8146067415730337,0.949438202247191
mean,random,8,0.8389513108614232,0.9550561797752809
mean,optical_flow,8,0.8258426966292135,0.9606741573033708
mean,attention,8,0.8089887640449438,0.9550561797752809
mean,frame_diff,8,0.8314606741573034,0.9606741573033708
mean,uniform,16,0.8258426966292135,0.9550561797752809
mean,random,16,0.8183520599250936,0.9550561797752809
mean,optical_flow,16,0.8146067415730337,0.949438202247191
mean,attention,16,0.8314606741573034,0.9550561797752809
mean,frame_diff,16,0.8314606741573034,0.9550561797752809
mean,uniform,32,0.8370786516853933,0.9606741573033708
mean,random,32,0.8352059925093632,0.9550561797752809
mean,optical_flow,32,0.8258426966292135,0.9606741573033708
mean,attention,32,0.8370786516853933,0.9606741573033708
mean,frame_diff,32,0.8314606741573034,0.9550561797752809
max,uniform,4,0.848314606741573,0.9662921348314607
max,random,4,0.8277153558052435,0.9625468164794007
max,optical_flow,4,0.8370786516853933,0.949438202247191
max,attention,4,0.8202247191011236,0.9550561797752809
max,frame_diff,4,0.8426966292134831,0.9550561797752809
max,uniform,8,0.8258426966292135,0.949438202247191
max,random,8,0.8352059925093634,0.9382022471910112
max,optical_flow,8,0.8370786516853933,0.9606741573033708
max,attention,8,0.8370786516853933,0.9550561797752809
max,frame_diff,8,0.848314606741573,0.9438202247191011
max,uniform,16,0.848314606741573,0.9550561797752809
max,random,16,0.8408239700374531,0.9531835205992509
max,optical_flow,16,0.8370786516853933,0.9550561797752809
max,attention,16,0.8370786516853933,0.9606741573033708
max,frame_diff,16,0.8370786516853933,0.9382022471910112
max,uniform,32,0.848314606741573,0.9606741573033708
max,random,32,0.8389513108614232,0.9550561797752809
max,optical_flow,32,0.8539325842696629,0.9550561797752809
max,attention,32,0.8426966292134831,0.949438202247191
max,frame_diff,32,0.8370786516853933,0.9550561797752809
best_match,uniform,4,0.8033707865168539,0.9382022471910112
best_match,random,4,0.8202247191011236,0.9569288389513109
best_match,optical_flow,4,0.7808988764044944,0.9438202247191011
best_match,attention,4,0.7865168539325843,0.9662921348314607
best_match,frame_diff,4,0.8202247191011236,0.9662921348314607
best_match,uniform,8,0.8370786516853933,0.9606741573033708
best_match,random,8,0.8314606741573034,0.958801498127341
best_match,optical_flow,8,0.8146067415730337,0.9662921348314607
best_match,attention,8,0.8146067415730337,0.949438202247191
best_match,frame_diff,8,0.8258426966292135,0.9606741573033708
best_match,uniform,16,0.8314606741573034,0.949438202247191
best_match,random,16,0.8239700374531834,0.953183520599251
best_match,optical_flow,16,0.8146067415730337,0.9382022471910112
best_match,attention,16,0.8314606741573034,0.9606741573033708
best_match,frame_diff,16,0.8314606741573034,0.9438202247191011
best_match,uniform,32,0.8146067415730337,0.9719101123595506
best_match,random,32,0.8183520599250936,0.9700374531835207
best_match,optical_flow,32,0.8202247191011236,0.9719101123595506
best_match,attention,32,0.8202247191011236,0.9719101123595506
best_match,frame_diff,32,0.8202247191011236,0.9662921348314607
