K,method_a,method_b,diff_top1,p_value
4,random,uniform,0.01685393258426966,0.333
4,optical_flow,uniform,-0.0056179775280898875,1.0
4,attention,uniform,0.011235955056179775,0.6902
4,frame_diff,uniform,0.028089887640449437,0.2254
8,random,uniform,0.02434456928838951,0.0562
8,optical_flow,uniform,0.011235955056179775,0.7751
8,attention,uniform,-0.0056179775280898875,1.0
8,frame_diff,uniform,0.016853932584269662,0.51
16,random,uniform,-0.007490636704119852,0.5118
16,optical_flow,uniform,-0.011235955056179775,0.7227
16,attention,uniform,0.0056179775280898875,1.0
16,frame_diff,uniform,0.0056179775280898875,1.0
32,random,uniform,-0.0018726591760299628,1.0
32,optical_flow,uniform,-0.011235955056179775,0.4963
32,attention,uniform,0.0,1.0
32,frame_diff,uniform,-0.0056179775280898875,1.0
4,optical_flow,frame_diff (LARGEST GAP),-0.033707865168539325,0.1088
