method,K,top_1,top_1_std,top_5,top_5_std,clip_sim,mean_cr,mean_n_kf
uniform,4,0.8089887640449438,0.0,0.9606741573033708,0.0,0.2095160996357922,0.19029889817464665,4.0
uniform,8,0.8146067415730337,0.0,0.949438202247191,0.0,0.20940024095780604,0.38026672533456063,7.997682502896871
uniform,16,0.8258426966292135,0.0,0.9550561797752809,0.0,0.2099178724534818,0.7331661224906693,15.6882966396292
uniform,32,0.8370786516853933,0.0,0.9606741573033708,0.0,0.20997804018257668,0.9688735961031354,22.95712630359212
random,4,0.8258426966292136,0.004587059443414202,0.956928838951311,0.0070068490389025295,0.20958636738805989,0.19029889817464665,4.0
random,8,0.8389513108614232,0.011543846447507427,0.9550561797752809,0.0,0.20940479438488616,0.38026672533456063,7.997682502896871
random,16,0.8183520599250936,0.002648340004444005,0.9550561797752809,0.004587059443414202,0.20990722382699445,0.7331661224906693,15.6882966396292
random,32,0.8352059925093633,0.0026483400044440045,0.9550561797752809,0.004587059443414202,0.2099551049817617,0.9688735961031355,22.95712630359212
optical_flow,4,0.8033707865168539,0.0,0.9438202247191011,0.0,0.20903075095330853,0.19029889817464665,4.0
optical_flow,8,0.8258426966292135,0.0,0.9606741573033708,0.0,0.20896902495643355,0.38026672533456063,7.997682502896871
optical_flow,16,0.8146067415730337,0.0,0.949438202247191,0.0,0.20906129268754536,0.7331661224906693,15.6882966396292
optical_flow,32,0.8258426966292135,0.0,0.9606741573033708,0.0,0.20981537100890282,0.9688735961031354,22.95712630359212
attention,4,0.8202247191011236,0.0,0.9719101123595506,0.0,0.20932082454582215,0.19029889817464665,4.0
attention,8,0.8089887640449438,0.0,0.9550561797752809,0.0,0.21013327536031795,0.38026672533456063,7.997682502896871
attention,16,0.8314606741573034,0.0,0.9550561797752809,0.0,0.2097236653606419,0.7331661224906693,15.6882966396292
attention,32,0.8370786516853933,0.0,0.9606741573033708,0.0,0.2099643041264279,0.9688735961031354,22.95712630359212
frame_diff,4,0.8370786516853933,0.0,0.9662921348314607,0.0,0.20966899978603437,0.19029889817464665,4.0
frame_diff,8,0.8314606741573034,0.0,0.9606741573033708,0.0,0.21035375554861366,0.38026672533456063,7.997682502896871
frame_diff,16,0.8314606741573034,0.0,0.9550561797752809,0.0,0.21002093387437448,0.7331661224906693,15.6882966396292
frame_diff,32,0.8314606741573034,0.0,0.9550561797752809,0.0,0.21000314193970912,0.9688735961031354,22.95712630359212
