K,method_a,method_b,diff_top1,se,ci90_lo,ci90_hi,p_tost,equivalent
4,uniform,random,0.008537490720118788,0.006479991920088712,-0.0021321667557252615,0.019207148195962837,0.038624509845460196,True
4,uniform,optical_flow,0.0011135857461024498,0.006958116778433705,-0.010343330191193153,0.012570501683398051,0.003384535606905673,True
4,uniform,attention,-0.0033407572383073497,0.008110777330277465,-0.016695591170834332,0.010014076694219632,0.02013428299642222,True
4,uniform,frame_diff,0.0022271714922048997,0.007719089507949116,-0.01048272723774153,0.01493707022215133,0.010768947694675506,True
4,random,optical_flow,-0.007423904974016337,0.006449518748663033,-0.01804338672351315,0.003195576775480477,0.02574798559099415,True
4,random,attention,-0.011878247958426135,0.007055268402277244,-0.023495129303459223,-0.00026136661339304715,0.12498631629157671,False
4,random,frame_diff,-0.006310319227913886,0.006546357628581942,-0.01708925143534661,0.004468612979518838,0.01839591226231975,True
4,optical_flow,attention,-0.004454342984409799,0.00833662993503407,-0.018181055456678412,0.009272369487858811,0.031272041416779146,True
4,optical_flow,frame_diff,0.0011135857461024498,0.007956937682149097,-0.011987942878026616,0.014215114370231515,0.008913213028087525,True
4,attention,frame_diff,0.005567928730512249,0.008410018558173344,-0.008279622082479038,0.019415479543503537,0.04324844564049061,True
8,uniform,random,-0.001113585746102447,0.005470968232713261,-0.01012183109951258,0.007894659607307685,0.0002911003437603334,True
8,uniform,optical_flow,-0.0011135857461024498,0.0074742306085618234,-0.013420311043335895,0.011193139551130996,0.005839650352491426,True
8,uniform,attention,-0.0066815144766146995,0.007217435125365078,-0.018565412109733462,0.005202383156504062,0.03266013807988947,True
8,uniform,frame_diff,0.0011135857461024498,0.0062035267108421135,-0.009100856796910577,0.011328028289115475,0.0011995015478422195,True
8,random,optical_flow,-3.461719898608506e-18,0.006280979442767925,-0.010341972658853893,0.010341972658853886,0.0007507609683307775,True
8,random,attention,-0.005567928730512251,0.006995281836099291,-0.017086038947098925,0.005950181486074423,0.019694498798955257,True
8,random,frame_diff,0.0022271714922048966,0.005656539472453731,-0.007086626952909007,0.0115409699373188,0.000866532078250248,True
8,optical_flow,attention,-0.005567928730512249,0.008410018558173343,-0.019415479543503533,0.008279622082479034,0.043248445640490574,True
8,optical_flow,frame_diff,0.0022271714922048997,0.007046467014152627,-0.009375217890838158,0.013829560875247959,0.005916657794982206,True
8,attention,frame_diff,0.0077951002227171495,0.006586593045298464,-0.0030500817763908176,0.018640282221825115,0.032105927326336464,True
16,uniform,random,-0.005567928730512248,0.004114851065789529,-0.012343253758307197,0.0012073962972827023,0.00023756063361028479,True
16,uniform,optical_flow,0.0022271714922048997,0.006302463957164052,-0.008150176582616851,0.012604519567026651,0.002454256542329921,True
16,uniform,attention,-0.0077951002227171495,0.005783732574573707,-0.017318328995776837,0.001728128550342536,0.017558242121213583,True
16,uniform,frame_diff,-0.0022271714922048997,0.006684824205350991,-0.013234096413856656,0.008779753429446856,0.003992203101586707,True
16,random,optical_flow,0.007795100222717147,0.005414182938351784,-0.0011196450695858682,0.016709845515020163,0.012210640278208111,True
16,random,attention,-0.002227171492204902,0.005381614010714054,-0.011088290282108608,0.006633947297698804,0.0004980619702776047,True
16,random,frame_diff,0.0033407572383073476,0.005495117169345164,-0.005707250646514204,0.012388765123128899,0.0012510812474006538,True
16,optical_flow,attention,-0.01002227171492205,0.006583233930914151,-0.020861922750358336,0.0008173793205142367,0.06498297344019967,False
16,optical_flow,frame_diff,-0.004454342984409799,0.0070452897579395555,-0.016054793951369984,0.007146107982550386,0.01379974382821696,True
16,attention,frame_diff,0.005567928730512249,0.005786600185826822,-0.0039600217197072116,0.01509587918073171,0.006404262598009768,True
32,uniform,random,0.004825538233110617,0.002191329172043609,0.001217396128789882,0.008433680337431351,4.160213612648602e-12,True
32,uniform,optical_flow,0.0022271714922048997,0.0022271714922048997,-0.0014399869325027398,0.005894329916912539,2.227832465762341e-15,True
32,uniform,attention,0.0011135857461024498,0.0024911635713090147,-0.0029882499274524804,0.0052154214196573805,4.2645886285967236e-14,True
32,uniform,frame_diff,0.004454342984409799,0.0022234440059235106,0.0007933220676433401,0.008115363901176259,2.6510633847006743e-12,True
32,random,optical_flow,-0.002598366740905717,0.002702455883231224,-0.0070481066438625745,0.0018513731620511402,9.775933052499213e-11,True
32,random,attention,-0.003711952487008167,0.002286119204466859,-0.0074761715109535765,5.226653693724253e-05,1.0704314582150489e-12,True
32,random,frame_diff,-0.00037119524870081726,0.0017811387806039678,-0.0033039366688053518,0.0025615461714037172,7.069735373187516e-27,True
32,optical_flow,attention,-0.0011135857461024498,0.0033424121026754943,-0.006617048206928326,0.004389876714723426,1.073972052549664e-08,True
32,optical_flow,frame_diff,0.0022271714922048997,0.0031505738494415174,-0.0029604188999498254,0.007414761884359624,1.1321268216696902e-08,True
32,attention,frame_diff,0.0033407572383073497,0.0019266356265939706,0.00016844738514407284,0.006513067091470627,1.2062682107306057e-17,True
