variant,distribution,n,mean,std,p05,p25,p50,p75,p95
raw,intra_episode_frame_pairs,1476528,0.9183996319770813,0.046003926545381546,0.8307317197322845,0.8927998542785645,0.9266693592071533,0.9526278078556061,0.9774170905351639
raw,inter_episode_same_task_means,96909,0.9172770977020264,0.05388650298118591,0.8115134239196777,0.8883687257766724,0.9312101602554321,0.9571220278739929,0.9819305419921874
raw,inter_task_means,9536946,0.7883177399635315,0.06857891380786896,0.664067417383194,0.74412502348423,0.7956974506378174,0.8374185562133789,0.8893807381391525
A,intra_episode_frame_pairs,1370694,0.5014299154281616,0.23368313908576965,0.0831757865846157,0.3474210947751999,0.5237032473087311,0.6787915825843811,0.8425180286169051
A,inter_episode_same_task_means,96909,0.1448187530040741,0.2293776422739029,-0.2314060926437378,-0.012494184076786041,0.14237992465496063,0.3023771345615387,0.5316680073738093
A,inter_task_means,9536946,0.05214444547891617,0.15935756266117096,-0.2078087404370308,-0.054122558794915676,0.050205254927277565,0.1569952368736267,0.3179292306303978
B,intra_episode_frame_pairs,1476528,-0.03230786323547363,0.33904358744621277,-0.5205088824033737,-0.29238133132457733,-0.07276944816112518,0.19519076868891716,0.5868333369493481
B,inter_episode_same_task_means,0,,,,,,,
B,inter_task_means,0,,,,,,,
